video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=DdfWxlFoENw&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@ILB,ILoveBasketballTV,LAKERS Coach Reveals PRO Ball Handling Secrets 🤫 [At Home Workout!],2.3M,5 years,Grab a ball and follow along as 3x NBA Champion Coach Phil Handy shows you his PRO ball handling secrets! If you're ...,2026-01-22 06:57:20.901649
/watch?v=oADaM2L1YLc&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@ILB,ILoveBasketballTV,This 5 Minute DRIBBLING WORKOUT Changes Your Game FOREVER 🤯,6.6M,3 years,Join Coach Marcus Hodges from ILB Elite as he shows you a MUST DO daily ball handling workout that will take your dribbling to ...,2026-01-22 06:57:20.903667
/watch?v=ktoebYTz1-k&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@lakers,Los Angeles Lakers,Handy's Handles - 4 Foundational Drills to Improve Your Game,989K,3 years,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw Follow us on ...,2026-01-22 06:57:20.905511
/watch?v=q-tg_pGEXfU&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHPSBwkJhwoBhyohjO8%3D,/@ILB,ILoveBasketballTV,10 Dribbling Drills That FIX Weak Handles FAST (Do These Daily!),29K,1 month,"Today's basketball workout helps you unlock better handles, cleaner footwork, and real game confidence with this complete ...",2026-01-22 06:57:20.907640
/watch?v=zqVBild4gPU&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@ChampionshipProductions,Championship Productions,Ball Handling Drills with Brett Gunning and Jay Wright!,298K,7 years,"with Brett Gunning, Houston Rockets (NBA) Assistant Coach; former Villanova University Associate Men's Basketball Coach, with ...",2026-01-22 06:57:20.910114
/watch?v=4XueSrKrCtA&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@ILB,ILoveBasketballTV,ELITE At-Home Dribbling Workout! Just 15 Minutes 🏀 Follow Along Ball Handling!,119K,4 years,"New ILB Elite Trainer, Marcus Hodges gives you an ELITE 15 minute workout to perfect handles! Try this elite dribbling workout to ...",2026-01-22 06:57:20.912673
/shorts/fCS_DTWVo6E,/@keithpoitierperformance,Keith Poitier Performance,3 BALL HANDLING DRILLS TO DO EVERYDAY 🔥🫡,283K,2 years,These three handle drills will have your handles on a string make sure you guys send this to a partner who also needs to work on ...,2026-01-22 06:57:20.914231
/watch?v=XmaqmZEaS9I&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHPSBwkJhwoBhyohjO8%3D,/@ChampionshipProductions,Championship Productions,"The ""Two-Minute Dribble"" Basketball Drill to Improve Ball Handling!",75K,4 years,"with Kyle Smithpeters, John A. Logan College Head Men's Coach; 2019-20 NJCAA Region 24 champions; has coached seven ...",2026-01-22 06:57:20.917001
/watch?v=l1U5oSMQ6S4&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@BreakthroughBBall,BreakthroughBBall,"Basketball Drills - Multipurpose Ball Handling, Passing, Cutting, and Finishing Drill",701K,13 years,Free scoring champ skills workout: http://www.btball.com/training1 This great multi-purpose drill that will improve your ball ...,2026-01-22 06:57:20.920047
/shorts/fJv-nSU0tgk,/@PETERDANYLIV,Peter Danyliv,5 Ball Handling Drills to Improve your Dribbling and have handles like Kyrie🪀🏀🎒,97K,4 months,... got five drills that's going to really test your handle So first of all we're going to start extended arm hand under the ball and we're ...,2026-01-22 06:57:20.921692
/watch?v=CodtYBdacps&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@BreakthroughBBall,BreakthroughBBall,🔥 3 Dribbling Drills for INSANE Handles! 🏀 | Ball Handling Drills For Players,15K,9 months,GET YOUR FREE PDF! 3 SCORING CHAMP SKILL WORKOUTS - https://bit.ly/4ipT9fn Want better ball control and smoother ...,2026-01-22 06:57:20.923301
/watch?v=UqJtZ1EYbBI&pp=ygUUYmFsbCBoYW5kbGluZyBkcmlsbHM%3D,/@alyssaustby1,Alyssa Ustby,D1 Basketball Player 5 Minute DRIBBLING WORKOUT,477K,1 year,"Working on your handle every day is a MUST. Between stationary and on-the-move drills, it is important to challenge yourself with ...",2026-01-22 06:57:20.925296
